GISJOIN,GEOID,STATE,COUNTY,Persons_1970,Persons_1980,Persons_1990,Persons_2000,Persons_2010,Persons_2020,Households_1970,Households_1980,Households_1990,Households_2000,Households_2010,Households_2020
G0501190,US05119,Arkansas,Pulaski County,287189,340613,349660,361474,382748,399125,92013,124516,137209,147942,158772,170622
G0501210,US05121,Arkansas,Randolph County,12645,16834,16558,18195,17969,18571,4265,6079,6445,7265,7299,7322
G0501230,US05123,Arkansas,St. Francis County,30799,30858,28497,29329,28258,23090,8543,9930,9958,10043,9616,8470
G0501250,US05125,Arkansas,Saline County,36107,53161,64183,83529,107118,123416,10869,17572,23037,31778,41441,48232
G0501270,US05127,Arkansas,Scott County,8207,9685,10205,10996,11233,9836,2778,3534,3957,4323,4368,3930
G0501290,US05129,Arkansas,Searcy County,7731,8847,7841,8261,8195,7828,2573,3257,3117,3523,3574,3441
G0501310,US05131,Arkansas,Sebastian County,79237,95172,99590,115071,125744,127799,26570,35803,39298,45300,49599,51312
G0501330,US05133,Arkansas,Sevier County,11272,14060,13637,15757,17058,15839,3793,5057,5118,5708,5975,5731
G0501350,US05135,Arkansas,Sharp County,8233,14607,14109,17119,17264,17271,2936,5642,5819,7211,7360,7356
G0501370,US05137,Arkansas,Stone County,6838,9022,9775,11499,12394,12359,2210,3280,3866,4768,5325,5333
G0501390,US05139,Arkansas,Union County,45428,48573,46719,45629,41639,39054,15145,18080,17819,17989,16951,16182
G0501410,US05141,Arkansas,Van Buren County,8275,13357,14008,16192,17295,15796,2857,5018,5698,6825,7433,7012
G0501430,US05143,Arkansas,Washington County,77370,100494,113409,157715,203065,245871,24791,36072,43372,60151,76389,92548
G0501450,US05145,Arkansas,White County,39253,50835,54676,67165,77076,76822,12665,17423,19823,25148,29342,29705
G0501470,US05147,Arkansas,Woodruff County,11566,11222,9520,8741,7260,6269,3717,4014,3630,3531,3134,2775
G0501490,US05149,Arkansas,Yell County,14208,17026,17759,21139,22185,20263,4725,6219,6907,7922,8219,7722
G0600010,US06001,California,Alameda County,1073184,1105379,1279182,1443741,1510271,1682353,365093,426092,479518,523366,545138,591636
G0600030,US06003,California,Alpine County,484,1097,1113,1208,1175,1204,178,386,450,483,497,530
G0600050,US06005,California,Amador County,11821,19314,30039,35100,38091,40474,4024,7468,10518,12759,14569,15678
G0600070,US06007,California,Butte County,101969,143851,182120,203171,220000,211632,34910,56904,71665,79566,87618,83268
G0600090,US06009,California,Calaveras County,13585,20710,31998,40554,45578,45292,4709,8004,12649,16469,18886,18758
G0600110,US06011,California,Colusa County,12430,12791,16275,18804,21419,21839,4136,4690,5612,6097,7056,7227
G0600130,US06013,California,Contra Costa County,558389,656380,803732,948816,1049025,1165927,172951,241534,300288,344129,375364,407029
G0600150,US06015,California,Del Norte County,14580,18217,23460,27507,28610,27743,4707,6791,7987,9170,9907,9807
G0600170,US06017,California,El Dorado County,43833,85812,125995,156299,181058,191185,15031,32505,46845,58939,70223,75320
G0600190,US06019,California,Fresno County,413053,514621,667490,799407,930450,1008654,126752,178506,220933,252940,289391,319296
G0600210,US06021,California,Glenn County,17521,21350,24798,26453,28122,28917,5723,7707,8821,9172,9800,10177
G0600230,US06023,California,Humboldt County,99692,108514,119118,126518,134623,136463,32383,41565,46420,51238,56031,56422
G0600250,US06025,California,Imperial County,74492,92110,109303,142361,174528,179702,21030,28157,32842,39384,49126,52050
G0600270,US06027,California,Inyo County,15571,17895,18281,17945,18546,19016,5536,7214,7565,7703,8049,8046
G0600290,US06029,California,Kern County,329162,403089,543477,661645,839631,909235,101650,139811,181480,208652,254610,281498
G0600310,US06031,California,Kings County,64610,73738,101469,129461,152982,152486,18293,23499,29082,34418,41233,44100
G0600330,US06033,California,Lake County,19548,36366,50631,58309,64665,68163,7679,15192,20805,23974,26548,27622
G0600350,US06035,California,Lassen County,14960,21661,27598,33828,34895,32730,4994,7400,8543,9625,10058,9888
G0600370,US06037,California,Los Angeles County,7032075,7477503,8863164,9519338,9818605,10014009,2431981,2730469,2989552,3133774,3241204,3420628
G0600390,US06039,California,Madera County,41519,63116,88090,123109,150865,156255,12756,20950,28370,36155,43317,45607
G0600410,US06041,California,Marin County,206038,222568,230096,247289,252409,262321,67606,88723,95006,100650,103210,104167
G0600430,US06043,California,Mariposa County,6015,11108,14302,17130,18251,17131,2204,4132,5604,6613,7693,7372
G0600450,US06045,California,Mendocino County,51101,66738,80345,86265,87841,91601,16538,25072,30419,33266,34945,36280
G0600470,US06047,California,Merced County,104629,134560,178403,210554,255793,281202,30464,44539,55331,63815,75642,83464
G0600490,US06049,California,Modoc County,7469,8610,9678,9449,9686,8700,2524,3198,3711,3784,4064,3732
G0600510,US06051,California,Mono County,4016,8577,9956,12853,14202,13195,1382,3453,3961,5137,5768,5474
G0600530,US06053,California,Monterey County,250071,290444,355660,401762,415057,439035,71232,95734,112965,121236,125946,131789
G0600550,US06055,California,Napa County,79140,99199,110765,124279,136484,138019,25098,36624,41312,45402,48876,49738
G0600570,US06057,California,Nevada County,26346,51645,78510,92033,98764,102241,9601,20012,30758,36894,41527,42774
G0600590,US06059,California,Orange County,1420386,1932709,2410556,2846289,3010232,3186989,436120,686267,827066,935287,992781,1074105
G0600610,US06061,California,Placer County,77306,117247,172796,248399,348432,404739,24557,42732,64101,93382,132627,152101
G0600630,US06063,California,Plumas County,11707,17340,19739,20824,20007,19790,4140,6637,8125,9000,8977,9216
G0600650,US06065,California,Riverside County,459074,663166,1170413,1545387,2189641,2418185,150504,242937,402067,506218,686260,763283
G0600670,US06067,California,Sacramento County,631498,783381,1041219,1223499,1418788,1585055,202953,299805,394530,453602,513945,564445
G0600690,US06069,California,San Benito County,18226,25005,36697,53234,55269,64209,5460,7882,11422,15885,16805,19484
G0600710,US06071,California,San Bernardino County,684072,895016,1418380,1709434,2035210,2181654,212021,308643,464737,528594,611618,667836
G0600730,US06073,California,San Diego County,1357854,1861846,2498016,2813833,3095313,3298634,423513,670094,887403,994677,1086865,1158764
G0600750,US06075,California,San Francisco County,715674,678974,723959,776733,805235,873965,295174,298956,305584,329700,345811,371851
G0600770,US06077,California,San Joaquin County,290208,347342,480628,563598,685306,779233,92372,124626,158156,181629,215007,241119
G0600790,US06079,California,San Luis Obispo County,105690,155435,217162,246681,269637,282424,33926,58204,80281,92739,102016,107797
G0600810,US06081,California,San Mateo County,556234,587329,649623,707161,718451,764442,185028,225201,241914,254103,257837,269417
G0600830,US06083,California,Santa Barbara County,264324,298694,369608,399347,423895,448229,83929,109315,129802,136622,142104,148353
G0600850,US06085,California,Santa Clara County,1064714,1295071,1497577,1682585,1781642,1936259,322870,458519,520180,565863,604204,656063
G0600870,US06087,California,Santa Cruz County,123790,188141,229734,255602,262382,270861,44420,71793,83566,91139,94355,96261
G0600890,US06089,California,Shasta County,77640,115715,147036,163256,177223,182155,25290,43014,55966,63426,70346,72836
G0600910,US06091,California,Sierra County,2365,3073,3318,3555,3240,3236,884,1274,1336,1520,1482,1456
G0600930,US06093,California,Siskiyou County,33225,39732,43531,44301,44900,44076,11273,15115,17306,18556,19505,19219
G0600950,US06095,California,Solano County,169941,235203,340421,394542,413344,453491,51120,80426,113429,130403,141758,155924
G0600970,US06097,California,Sonoma County,204885,299681,388222,458614,483878,488863,67861,114474,149011,172403,185825,187701
G0600990,US06099,California,Stanislaus County,194506,265900,370522,446997,514453,552878,62100,94675,125375,145146,165180,176738
G0601010,US06101,California,Sutter County,41935,52246,64415,78930,94737,99633,13159,18809,23111,27033,31437,33062
G0601030,US06103,California,Tehama County,29517,38888,49625,56039,63463,65829,9567,14538,18704,21013,23767,24910
